Word,Bigram,Conc.M,Conc.SD,Unknown,Total,Percent_known,SUBTLEX,Dom_Pos
embracing,0,3.45,1.21,0,29,1.00,41,Verb
embroider,0,4.22,1.09,0,27,1.00,12,Verb
embroiderer,0,4,1.13,1,30,0.97,0,Err:512
embroidery,0,4.63,0.84,0,27,1.00,25,Noun
embroil,0,2.04,1.25,3,29,0.90,1,Noun
embryo,0,4.61,0.92,0,28,1.00,39,Noun
embryological,0,2.64,1.34,1,29,0.97,0,Err:512
embryology,0,2.23,1.37,4,30,0.87,1,Noun
embryonal,0,2.45,1.39,3,23,0.87,0,Err:512
embryonic,0,2.83,1.4,1,25,0.96,6,Adjective
emcee,0,4.46,0.92,1,29,0.97,26,Noun
emerald,0,4.93,0.26,0,29,1.00,131,Noun
emerge,0,2.27,1.23,0,30,1.00,88,Verb
emergence,0,2.56,1.23,2,27,0.93,10,Noun
emergency,0,2.41,1.05,0,27,1.00,2776,Noun
emergency exit,1,4.86,0.44,0,29,1.00,0,Err:512
emergency room,1,4.84,0.55,0,25,1.00,0,Err:512
emergent,0,2.07,1,4,31,0.87,15,Adjective
emergently,0,1.71,0.86,4,28,0.86,0,Err:512
emersion,0,2.83,1.3,4,27,0.85,1,Noun
emigrant,0,3.72,1.4,4,29,0.86,0,Err:512
emigration,0,2.7,1.3,0,27,1.00,13,Noun
eminence,0,1.95,0.95,4,26,0.85,96,Noun
eminent,0,2.03,1.07,1,31,0.97,84,Adjective
eminently,0,1.86,0.89,0,28,1.00,12,Adverb
emissary,0,3.09,1.41,3,26,0.88,51,Noun
emission,0,3.33,1.27,0,27,1.00,25,Noun
emit,0,3.22,1.31,0,27,1.00,20,Verb
emitter,0,3.25,1.39,4,28,0.86,7,Noun
emote,0,2.59,1.65,1,23,0.96,3,Verb
emoticon,0,3.71,1.44,0,28,1.00,0,Err:512
emotion,0,2.44,1.48,0,27,1.00,423,Noun
emotional,0,2,1.25,0,28,1.00,1081,Adjective
emotionalism,0,1.92,1.13,2,28,0.93,4,Noun
emotionalist,0,1.62,0.77,3,27,0.89,0,Err:512
emotionality,0,1.96,1.43,2,28,0.93,1,Noun
emotionalize,0,1.54,0.79,3,31,0.90,0,Err:512
emotionally,0,1.72,1.13,0,29,1.00,354,Adverb
emotionless,0,1.87,1.07,0,30,1.00,3,Adjective
emotively,0,1.41,0.64,3,30,0.90,0,Err:512
emotiveness,0,1.62,0.7,2,28,0.93,0,Err:512
empathetic,0,1.93,0.96,0,29,1.00,11,Adjective
empathic,0,1.7,0.95,0,27,1.00,11,Adjective
empathically,0,1.86,0.88,1,30,0.97,0,Err:512
empathize,0,2.23,1.45,2,28,0.93,32,Verb
empathy,0,1.63,1.01,0,27,1.00,58,Noun
emperor,0,4.35,0.88,0,31,1.00,690,Noun
emperorship,0,2.96,1.51,1,28,0.96,0,Err:512
emphases,0,1.96,1.25,1,27,0.96,0,Err:512
emphasis,0,2.12,1.24,0,26,1.00,65,Noun
emphasize,0,2,1.2,0,29,1.00,56,Verb
emphatic,0,1.93,1.09,0,28,1.00,15,Adjective
emphatically,0,1.74,1.16,1,28,0.96,18,Adverb
emphysema,0,3.65,1.5,0,26,1.00,28,Noun
empire,0,3,1.57,0,26,1.00,646,Noun
empirical,0,1.96,1.14,0,28,1.00,23,Adjective
empirically,0,1.67,0.96,2,29,0.93,8,Adverb
employ,0,2.41,1.27,1,30,0.97,171,Verb
employability,0,1.85,0.99,1,28,0.96,0,Err:512
employable,0,2.38,1.21,0,29,1.00,2,Adjective
employed,0,2.8,1.3,0,30,1.00,209,Verb
employee,0,4.1,1.21,0,30,1.00,590,Noun
employer,0,3.81,1.42,0,27,1.00,274,Noun
employment,0,3.3,1.56,0,27,1.00,272,Noun
emporium,0,3.86,1.13,0,29,1.00,44,Noun
empower,0,2,1.16,0,29,1.00,16,Verb
empowerment,0,2.36,1.39,0,28,1.00,5,Noun
emptier,0,3.04,1.24,2,27,0.93,7,Adjective
emptily,0,1.81,0.9,3,29,0.90,1,Adverb
emptiness,0,2.32,1.31,0,25,1.00,92,Noun
empty,0,3.43,1.5,0,30,1.00,2409,Adjective
emu,0,4.79,0.62,0,29,1.00,22,Noun
emulate,0,2.37,1.24,1,28,0.96,28,Verb
emulation,0,2.12,1.09,3,28,0.89,1,Noun
emulator,0,3.08,1.55,3,29,0.90,0,Err:512
emulsifier,0,3.54,1.35,4,28,0.86,0,Err:512
emulsify,0,2.72,1.31,4,29,0.86,2,Verb
emulsion,0,3.43,1.41,3,26,0.88,8,Noun
en route,1,2.5,1.3,2,28,0.93,0,Err:512
enable,0,2.03,1.27,0,30,1.00,75,Verb
enablement,0,1.88,1.31,2,28,0.93,1,Noun
enabler,0,2.54,1.45,1,27,0.96,6,Noun
enact,0,2.22,1.31,0,27,1.00,9,Verb
enactment,0,2.45,1.33,0,29,1.00,1,Noun
enamel,0,4.21,1.21,0,29,1.00,29,Noun
enameling,0,3.38,1.38,3,27,0.89,0,Err:512
enamor,0,2.04,1,4,28,0.86,0,Err:512
enamored,0,1.62,0.77,3,27,0.89,17,Verb
encage,0,2.42,1.44,2,26,0.92,0,Err:512
encamp,0,3.04,1.52,3,27,0.89,1,Verb
encampment,0,3.82,1.3,4,26,0.85,16,Noun
encapsulate,0,2.8,1.47,0,30,1.00,3,Verb
encapsulation,0,2.41,1.45,3,30,0.90,0,Err:512
encase,0,2.59,1.42,2,29,0.93,2,Noun
encasement,0,3.33,1.41,2,29,0.93,2,Noun
encephalitis,0,3.13,1.63,3,26,0.88,11,Noun
enchant,0,1.75,0.84,1,29,0.97,19,Verb
enchanted,0,2.07,1.41,0,28,1.00,141,Adjective
enchanter,0,2.69,1.26,2,28,0.93,1,Noun
enchanting,0,2.07,1.09,0,28,1.00,104,Adjective
enchantingly,0,2.08,1.13,2,28,0.93,2,Adverb
enchantment,0,1.63,0.74,1,28,0.96,29,Noun
enchantress,0,2.84,1.57,0,25,1.00,29,Noun
enchilada,0,4.67,1.03,0,30,1.00,34,Noun
encircle,0,2.84,1.34,1,26,0.96,7,Verb
encirclement,0,3.33,1.27,1,25,0.96,3,Noun
enclose,0,2.96,1.22,0,27,1.00,17,Verb
enclosure,0,4.04,1.26,0,28,1.00,20,Noun
encode,0,2.54,1.26,0,28,1.00,5,Verb
encoder,0,3.81,1.39,2,29,0.93,11,Noun
encompass,0,2.23,1.21,2,28,0.93,10,Verb
encompassment,0,2.32,1.25,4,29,0.86,0,Err:512
encore,0,2.81,1.3,1,28,0.96,126,Noun
encounter,0,2.93,1.34,0,30,1.00,284,Noun
encourage,0,2.61,1.34,0,28,1.00,308,Verb
encouragement,0,1.96,1.4,0,27,1.00,112,Noun
encourager,0,2.7,1.35,1,28,0.96,1,Noun
encouraging,0,2,1.34,0,29,1.00,165,Adjective
encouragingly,0,1.86,1.22,0,29,1.00,0,Err:512
encroach,0,1.86,0.99,1,30,0.97,3,Verb
encroachment,0,2.32,1.35,3,28,0.89,2,Noun
encrust,0,3.22,1.57,1,24,0.96,1,Verb
encrypt,0,2.72,1.49,1,30,0.97,11,Verb
encryption,0,3.29,1.44,1,29,0.97,83,Noun
encumber,0,1.85,1.05,2,28,0.93,0,Err:512
encumbrance,0,2.17,1.24,3,27,0.89,1,Noun
encyclopedia,0,4.79,0.5,0,28,1.00,81,Noun
encyclopedic,0,3.04,1.64,3,26,0.88,6,Adjective
end,0,3.14,1.63,0,28,1.00,13559,Noun
end game,1,2.31,1.41,0,26,1.00,0,Err:512
end product,1,3.18,1.33,1,29,0.97,0,Err:512
endanger,0,1.96,0.96,0,26,1.00,85,Verb
endangerment,0,1.89,1.05,2,29,0.93,31,Noun
endear,0,1.69,0.79,2,28,0.93,6,Verb
endeared,0,1.78,1.01,1,28,0.96,3,Verb
endearing,0,1.9,1.11,0,29,1.00,44,Adjective
endearingly,0,1.8,0.91,0,25,1.00,0,Err:512
endearment,0,1.54,0.92,0,28,1.00,14,Noun
endeavor,0,2.21,1.1,0,28,1.00,76,Noun
ended,0,2.08,1.2,0,26,1.00,1511,Verb
ending,0,2.31,1.42,0,29,1.00,812,Noun
endless,0,1.82,1.22,0,28,1.00,338,Adjective
endlessly,0,1.46,0.74,0,28,1.00,71,Adverb
endlessness,0,1.46,0.96,0,28,1.00,1,Noun
endnote,0,3.66,1.2,1,30,0.97,0,Err:512
endocrine,0,3.07,1.54,2,30,0.93,7,Adjective
endocrinologist,0,3.86,1.63,1,29,0.97,2,Noun
endocrinology,0,2.76,1.61,0,25,1.00,4,Noun
endoplasmic,0,3.12,1.56,2,28,0.93,3,Adjective
endorphin,0,3.62,1.59,0,29,1.00,5,Noun
endorsable,0,1.75,1.07,1,25,0.96,0,Err:512
endorse,0,2.41,1.4,0,29,1.00,88,Verb
endorsed,0,1.93,1.09,0,28,1.00,26,Verb
endorsee,0,3.27,1.46,3,29,0.90,0,Err:512
endorsement,0,2.53,1.22,0,30,1.00,71,Noun
endorser,0,3.25,1.6,2,30,0.93,0,Err:512
endoscopic,0,3.14,1.21,1,23,0.96,4,Adjective
endoscopy,0,4.15,1.16,3,29,0.90,13,Noun
endoskeleton,0,3.92,1.19,3,28,0.89,2,Noun
endow,0,2.68,1.33,1,29,0.97,11,Verb
endowment,0,2.89,1.34,0,27,1.00,28,Noun
endpoint,0,3.26,1.46,0,27,1.00,1,Noun
endurable,0,1.52,0.89,1,28,0.96,2,Adjective
endurableness,0,1.65,0.94,4,30,0.87,0,Err:512
endurance,0,2,1.2,0,26,1.00,68,Noun
endure,0,2,1.2,0,30,1.00,225,Verb
enduring,0,2.14,1.24,0,28,1.00,48,Adjective
enduringly,0,1.54,0.81,2,28,0.93,0,Err:512
enduringness,0,1.88,0.97,4,29,0.86,0,Err:512
endways,0,1.91,1,4,27,0.85,0,Err:512
enema,0,4.44,0.8,0,27,1.00,72,Noun
enemy,0,2.83,1.36,0,29,1.00,2474,Noun
energetic,0,2.83,1.26,0,29,1.00,66,Adjective
energetically,0,2.07,1.03,0,29,1.00,2,Adverb
energize,0,2.46,1.17,0,28,1.00,20,Verb
energizer,0,2.21,1.2,1,29,0.97,13,Noun
energy,0,3.11,1.48,0,27,1.00,1678,Noun
enforce,0,2.4,1.48,0,30,1.00,86,Verb
enforceability,0,1.86,1.19,0,29,1.00,0,Err:512
enforceable,0,1.86,1.24,0,28,1.00,6,Adjective
enforced,0,2.22,0.89,0,27,1.00,42,Verb
enforcement,0,2.48,1.39,2,27,0.93,339,Noun
enforcer,0,3.23,1.43,0,30,1.00,34,Noun
enframe,0,2.15,1.12,4,30,0.87,0,Err:512
enfranchisement,0,1.95,1.13,2,24,0.92,1,Noun
engage,0,2.07,1.28,0,30,1.00,314,Verb
engaged,0,2.37,1.39,0,27,1.00,1327,Verb
engagement,0,2.75,1.46,0,28,1.00,666,Noun
engagement ring,1,4.93,0.26,0,29,1.00,0,Err:512
engager,0,3.35,1.16,4,30,0.87,0,Err:512
engaging,0,1.72,0.8,0,29,1.00,98,Verb
engagingly,0,1.73,1.25,3,29,0.90,0,Err:512
engagingness,0,1.6,0.87,4,29,0.86,0,Err:512
engine,0,4.86,0.58,0,29,1.00,1626,Noun
engine failure,1,3.69,1.37,0,29,1.00,0,Err:512
engineer,0,4.64,0.62,0,28,1.00,596,Noun
engineering,0,2.69,1.42,0,29,1.00,333,Noun
engineless,0,4.08,1.38,1,27,0.96,0,Err:512
engorge,0,2.8,1.37,0,30,1.00,0,Err:512
engorgement,0,2.73,1.31,2,28,0.93,1,Noun
engrain,0,2.1,1.18,3,24,0.88,0,Err:512
engrained,0,2.08,1.13,3,29,0.90,1,Verb
engrave,0,4,1.2,0,30,1.00,15,Verb
engraved,0,4.22,0.97,0,27,1.00,85,Verb
engraver,0,4.43,0.73,0,30,1.00,10,Noun
engraving,0,4.28,1.13,1,30,0.97,23,Noun
engross,0,2.34,1.04,1,30,0.97,1,Verb
engrossed,0,2.62,1.47,1,27,0.96,7,Adjective
engrossing,0,2,1.07,0,29,1.00,6,Verb
engrossingly,0,2.36,1.14,2,24,0.92,0,Err:512
engrossment,0,2.35,1.38,2,28,0.93,0,Err:512
engulf,0,2.88,1.45,0,26,1.00,5,Verb
engulfment,0,2.69,1.35,4,30,0.87,0,Err:512
enhance,0,2.21,1.34,0,28,1.00,125,Verb
enhanced,0,2.21,1.29,0,29,1.00,49,Adjective
enhancement,0,2.29,1.3,0,31,1.00,23,Noun
enhancer,0,2.15,1.26,2,28,0.93,9,Noun
enigma,0,1.79,1.2,2,30,0.93,47,Noun
enigmatic,0,1.62,1.12,2,31,0.94,11,Adjective
enigmatically,0,1.52,0.9,3,26,0.88,0,Err:512
enjoy,0,2.29,1.54,0,28,1.00,4222,Verb
enjoyable,0,2.04,1.22,0,26,1.00,99,Adjective
enjoyableness,0,1.78,1.37,2,29,0.93,0,Err:512
enjoyably,0,2.73,1.41,0,30,1.00,0,Err:512
enjoyer,0,2.15,1.26,0,27,1.00,0,Err:512
enjoying,0,2.22,0.97,0,27,1.00,868,Verb
enjoyment,0,2.17,1.44,0,29,1.00,69,Noun
enlarge,0,3.17,1.44,0,30,1.00,45,Verb
enlargeable,0,3.04,1.35,0,28,1.00,0,Err:512
enlarged,0,3.63,1.16,0,30,1.00,54,Verb
enlargement,0,3.38,1.44,0,24,1.00,21,Noun
enlarger,0,2.96,1.48,3,29,0.90,7,Noun
enlarging,0,3.07,1.25,0,28,1.00,8,Verb
enlighten,0,1.48,0.65,0,25,1.00,108,Verb
enlightened,0,1.52,0.89,0,27,1.00,87,Adjective
enlightener,0,2.73,1.56,2,28,0.93,0,Err:512
enlightening,0,1.19,0.4,0,27,1.00,37,Adjective
enlightenment,0,1.5,0.94,0,30,1.00,74,Noun
enlist,0,2.71,1.27,1,29,0.97,80,Verb
enlisted,0,1.92,1.23,0,26,1.00,174,Verb
enlister,0,3.46,1.48,3,29,0.90,0,Err:512
enlistment,0,2.24,1.18,0,29,1.00,15,Noun
enmesh,0,2.52,1,4,29,0.86,1,Verb
enormity,0,2.37,1.31,2,29,0.93,13,Noun
enormous,0,2.9,1.45,0,29,1.00,526,Adjective
enormously,0,2.04,1.19,1,24,0.96,50,Adverb
enormousness,0,2.71,1.54,2,30,0.93,1,Noun
enough,0,1.33,0.68,0,27,1.00,25568,Adverb
enquire,0,2.28,1.17,4,29,0.86,16,Verb
enquirer,0,2.86,1.3,1,30,0.97,35,Noun
enquiry,0,2.77,1.34,3,29,0.90,9,Noun
enrage,0,2.69,1.31,0,29,1.00,14,Verb
enraged,0,2.58,1.47,1,27,0.96,35,Adjective
enragement,0,2.03,1.21,1,30,0.97,0,Err:512
enrapture,0,2.08,1.41,3,29,0.90,1,Verb
enraptured,0,2,1.18,3,27,0.89,8,Adjective
enrich,0,2,1.13,0,29,1.00,14,Verb
enriching,0,1.85,0.95,1,28,0.96,12,Verb
enrichment,0,1.83,0.95,0,30,1.00,7,Noun
enrobe,0,3.09,1.31,2,25,0.92,0,Err:512
enroll,0,2.59,1.24,0,29,1.00,34,Verb
enrolled,0,2.45,1.48,0,29,1.00,57,Verb
enrollee,0,3.32,1.68,1,29,0.97,0,Err:512
enrollment,0,2.96,1.31,0,25,1.00,23,Noun
ensemble,0,3.7,1.35,0,27,1.00,57,Noun
enshrine,0,2.72,1.28,4,29,0.86,2,Noun
enshroud,0,3.58,1.44,3,27,0.89,1,Verb
enslave,0,2.36,1.16,1,29,0.97,34,Verb
enslavement,0,2.5,1.48,0,28,1.00,9,Noun
enslaver,0,3.07,1.33,2,29,0.93,3,Noun
ensnare,0,2.9,1.42,1,30,0.97,6,Verb
ensnarement,0,2.44,1.42,3,28,0.89,0,Err:512
ensnaring,0,2.38,1.06,2,28,0.93,0,Err:512
ensnarl,0,2.48,1.08,4,29,0.86,0,Err:512
ensue,0,2.36,1.19,4,29,0.86,10,Verb
ensuing,0,1.42,0.9,2,28,0.93,10,Adjective
ensure,0,1.68,1.09,0,28,1.00,253,Verb
entail,0,1.84,1.16,0,31,1.00,29,Verb
entangle,0,3.48,1.25,1,28,0.96,6,Verb
entangled,0,3.34,1.34,0,29,1.00,29,Verb
entanglement,0,2.76,1.27,0,29,1.00,8,Noun
entangling,0,2.38,1.24,1,27,0.96,0,Err:512
enter,0,3.12,1.21,0,26,1.00,1516,Verb
entering,0,3.52,1.12,0,27,1.00,588,Verb
enterprise,0,2.04,1,1,27,0.96,413,Noun
enterpriser,0,3.32,1.47,1,29,0.97,3,Noun
enterprising,0,1.86,1.03,0,29,1.00,26,Adjective
enterprisingly,0,2.04,1.17,2,27,0.93,0,Err:512
entertain,0,2.55,1.06,0,29,1.00,313,Verb
entertainer,0,4.17,1.1,0,29,1.00,84,Noun
entertaining,0,2.04,1.09,0,27,1.00,288,Adjective
entertainingly,0,1.84,1.07,4,29,0.86,1,Adverb
entertainment,0,2.92,1.23,0,26,1.00,640,Noun
enthrall,0,1.82,1.06,2,30,0.93,0,Err:512
enthralling,0,1.88,1.21,0,26,1.00,7,Adjective
enthrallingly,0,1.89,0.8,2,29,0.93,0,Err:512
enthrallment,0,2.18,1.12,0,28,1.00,0,Err:512
enthralment,0,2.13,1.06,4,27,0.85,0,Err:512
enthusiasm,0,2.34,1.34,0,29,1.00,229,Noun
enthusiast,0,2.23,1.18,0,26,1.00,29,Noun
enthusiastic,0,2.76,1.33,0,29,1.00,142,Adjective
enthusiastically,0,2.52,1.4,0,29,1.00,12,Adverb
entice,0,2,1.12,0,28,1.00,26,Verb
enticement,0,2.09,1.12,0,23,1.00,4,Noun
enticer,0,2.75,1.22,4,28,0.86,0,Err:512
enticing,0,2.11,1.03,1,29,0.97,26,Adjective
enticingly,0,1.76,1.05,2,27,0.93,0,Err:512
entire,0,2.03,1.1,0,30,1.00,4070,Adjective
entirely,0,1.81,1.14,0,27,1.00,1026,Adverb
entireness,0,2.12,1.26,3,27,0.89,0,Err:512
entirety,0,3.07,1.44,1,30,0.97,24,Noun
entitle,0,2.25,1.4,1,29,0.97,22,Verb
entitlement,0,1.79,0.98,1,25,0.96,12,Noun
entity,0,2.68,1.59,0,28,1.00,86,Noun
entomb,0,3.5,1.5,1,27,0.96,5,Verb
entombment,0,3.44,1.26,4,29,0.86,3,Noun
entomologist,0,3.88,1.26,3,27,0.89,19,Noun
entomology,0,2.87,1.42,2,25,0.92,12,Noun
entourage,0,3.46,1.29,0,28,1.00,69,Noun
entrails,0,4.58,1.02,3,27,0.89,45,Noun
entrance,0,4.23,0.99,0,31,1.00,800,Noun
entranced,0,1.92,1.02,0,26,1.00,6,Verb
entranceway,0,4.3,0.95,2,29,0.93,1,Noun
entrancing,0,2.15,1.2,0,27,1.00,12,Verb
entrancingly,0,1.62,0.88,4,28,0.86,0,Err:512
entrap,0,2.56,1.31,0,27,1.00,9,Verb
entrapment,0,2.31,1.26,0,29,1.00,43,Noun
entree,0,4.28,1.1,1,30,0.97,42,Noun
entrench,0,2.65,1.09,1,27,0.96,0,Err:512
entrenched,0,2.65,0.89,2,28,0.93,9,Verb
entrenchment,0,2.32,1.29,3,25,0.88,0,Err:512
entrepreneur,0,3.07,1.33,0,28,1.00,55,Noun
entrepreneurial,0,2.14,1.36,1,30,0.97,9,Adjective
entrepreneurship,0,2,1,0,27,1.00,0,Err:512
entrust,0,2.16,1.14,0,25,1.00,37,Verb
entrustment,0,2,1.48,2,23,0.91,0,Err:512
entry,0,3.62,1.52,0,29,1.00,620,Noun
entryway,0,4.43,1.1,0,28,1.00,8,Noun
entwine,0,2.41,1.32,1,30,0.97,8,Verb
entwinement,0,3.26,1.42,3,26,0.88,0,Err:512
enumerate,0,2,1.24,2,29,0.93,1,Verb
enumeration,0,2.83,1.34,4,28,0.86,1,Noun
enumerative,0,1.93,1.07,3,30,0.90,0,Err:512
enunciate,0,2.63,1.5,0,30,1.00,7,Verb
enunciation,0,2.59,1.39,2,29,0.93,5,Noun
enunciator,0,2.75,1.48,4,28,0.86,0,Err:512
envelop,0,3.56,1.34,2,29,0.93,4,Verb
envelope,0,4.93,0.26,0,28,1.00,513,Noun
envelopment,0,2.85,1.32,4,30,0.87,0,Err:512
enviable,0,2.04,1.21,1,26,0.96,11,Adjective
enviably,0,1.44,0.58,1,28,0.96,0,Err:512
envied,0,1.74,1.06,0,27,1.00,51,Verb
envious,0,1.76,1.06,0,29,1.00,64,Adjective
enviously,0,1.86,1.04,1,29,0.97,2,Adverb
enviousness,0,1.69,1.09,2,28,0.93,0,Err:512
environment,0,3.74,1.46,0,27,1.00,652,Noun
environmental,0,2.63,1.33,0,27,1.00,167,Adjective
environmentalism,0,2.38,1.4,0,29,1.00,3,Noun
environmentalist,0,3.72,1.39,0,29,1.00,13,Noun
environmentally,0,1.69,1,0,29,1.00,16,Adverb
envision,0,2.38,1.5,0,29,1.00,27,Verb
envoy,0,3.5,1.43,0,30,1.00,44,Noun
envy,0,1.69,0.85,0,29,1.00,487,Verb
envying,0,1.78,0.93,1,28,0.96,12,Verb
enzyme,0,3.57,1.41,0,30,1.00,54,Noun
enzymologist,0,3.62,1.38,4,28,0.86,0,Err:512
ephedrine,0,3.08,1.57,4,30,0.87,7,Noun
epic,0,2.19,1.36,0,27,1.00,120,Adjective
epicenter,0,3.11,1.52,1,29,0.97,16,Adjective
epidemic,0,3.23,1.28,0,30,1.00,174,Noun
epidemical,0,2.12,1.26,1,25,0.96,0,Err:512
epidemically,0,2.26,1.16,2,29,0.93,0,Err:512
epidemiologist,0,3.58,1.64,2,26,0.92,3,Noun
epidemiology,0,2.7,1.46,1,28,0.96,7,Noun
epidermal,0,3.56,1.45,1,28,0.96,10,Adjective
epidermis,0,4.69,0.66,1,30,0.97,15,Noun
epidural,0,3.41,1.55,2,29,0.93,28,Noun
epigram,0,3.08,1.56,4,28,0.86,3,Noun
epilepsy,0,3.29,1.41,1,29,0.97,53,Noun
epileptic,0,3.1,1.4,0,29,1.00,61,Adjective
epilogue,0,3.23,1.39,2,28,0.93,6,Noun
epinephrine,0,4.33,1.11,1,22,0.95,59,Noun
epiphany,0,1.6,0.71,0,25,1.00,66,Noun
episcopal,0,2.23,1.31,2,28,0.93,10,Err:512
episcopalian,0,2.22,1.37,3,30,0.90,21,Err:512
episode,0,3.22,1.4,0,27,1.00,627,Noun
episodic,0,2.27,1.12,4,30,0.87,1,Adjective
episodically,0,1.85,0.91,1,28,0.96,0,Err:512
epitaph,0,3.74,1.63,3,26,0.88,26,Noun
epitome,0,1.8,1.22,3,28,0.89,22,Noun
epitomize,0,1.62,0.71,3,27,0.89,2,Verb
equal,0,2.56,1.34,0,27,1.00,682,Adjective
equal opportunity,1,1.97,1.22,0,30,1.00,0,Err:512
equaling,0,2.41,1.12,1,30,0.97,0,Err:512
equalitarianism,0,2.08,1.16,3,29,0.90,0,Err:512
equality,0,1.41,0.69,0,27,1.00,97,Noun
equalization,0,2.29,1.18,0,28,1.00,3,Noun
equalize,0,2.04,1.22,0,26,1.00,10,Verb
equalizer,0,2.54,1.48,1,27,0.96,21,Noun
equalizing,0,1.8,1.08,0,25,1.00,4,Adjective
equally,0,1.59,0.75,0,27,1.00,274,Adverb
equate,0,1.93,0.96,0,29,1.00,20,Verb
equation,0,3.65,1.5,1,27,0.96,178,Noun
equator,0,3.85,1.51,0,27,1.00,31,Noun
equatorial,0,2.59,1.37,1,28,0.96,17,Adjective
equestrian,0,3.96,1.2,1,29,0.97,20,Adjective
equidistance,0,3.08,1.63,3,28,0.89,0,Err:512
equidistantly,0,2.29,1.52,4,28,0.86,0,Err:512
equilateral,0,2.7,1.64,0,27,1.00,2,Noun
equilaterally,0,2.46,1.5,1,27,0.96,0,Err:512
equilibrium,0,2.62,1.33,1,27,0.96,46,Noun
equinox,0,3.2,1.52,2,32,0.94,19,Noun
equip,0,2.81,1.39,1,27,0.96,17,Verb
equipment,0,4.83,0.38,0,30,1.00,1298,Noun
equipper,0,3.29,1.3,4,28,0.86,0,Err:512
equitable,0,1.88,1.11,2,28,0.93,18,Adjective
equitably,0,2.08,1.12,4,29,0.86,0,Err:512
equity,0,2.22,1.31,0,27,1.00,67,Noun
equivalence,0,1.92,1.19,0,25,1.00,0,Err:512
equivalency,0,2.24,1.3,0,29,1.00,11,Noun
equivalent,0,2.57,1.53,0,28,1.00,134,Noun
equivalently,0,2.42,1.36,1,27,0.96,0,Err:512
equivocal,0,1.79,1.05,1,30,0.97,8,Adjective
equivocally,0,1.85,1.23,0,27,1.00,0,Err:512
equivocate,0,1.93,1.14,2,29,0.93,5,Verb
equivocator,0,2.15,1.19,4,30,0.87,0,Err:512
era,0,2.24,1.43,0,29,1.00,291,Noun
eradicate,0,3,1.31,2,30,0.93,27,Verb
eradication,0,2.3,1.29,0,30,1.00,15,Noun
eradicator,0,2.72,1.36,1,30,0.97,3,Noun
erasable,0,2.9,1.42,0,30,1.00,1,Adjective
erase,0,3.79,1.21,0,29,1.00,317,Verb
erased,0,3.6,1.38,0,30,1.00,199,Verb
eraser,0,4.74,0.86,0,27,1.00,51,Noun
erasure,0,2.48,1.42,1,26,0.96,3,Noun
erect,0,3.74,1.26,0,27,1.00,60,Adjective
erectable,0,3,1.28,0,28,1.00,0,Err:512
erectile,0,2.46,1.14,0,26,1.00,24,Adjective
erecting,0,3.2,1.35,1,26,0.96,5,Verb
erection,0,4.22,1.12,0,27,1.00,111,Noun
erectly,0,2.93,1.3,0,27,1.00,1,Adverb
erectness,0,3.23,1.48,1,27,0.96,0,Err:512
ergonomic,0,2.52,1.45,1,30,0.97,5,Adjective
ergonomics,0,2.35,1.29,3,29,0.90,0,Err:512
erode,0,3.24,1.24,1,30,0.97,6,Verb
eroded,0,3.34,1.23,0,29,1.00,12,Verb
eroding,0,3.35,1.5,3,29,0.90,19,Adjective
erogenous,0,1.96,0.92,1,29,0.97,17,Adjective
erosion,0,3.83,1.21,0,30,1.00,28,Noun
erosive,0,3.04,1.51,1,28,0.96,1,Adjective
erotic,0,2.26,1.32,0,31,1.00,200,Adjective
erotica,0,3.28,1.51,0,25,1.00,28,Noun
erotically,0,2.07,1.07,0,29,1.00,3,Adverb
eroticism,0,2.52,1.48,0,29,1.00,8,Noun
eroticize,0,2.12,0.9,3,27,0.89,1,Verb
errand,0,3.37,1.52,1,28,0.96,204,Noun
errant,0,2.04,0.94,1,28,0.96,25,Adjective
errantly,0,1.6,0.71,4,29,0.86,1,Adverb
erratic,0,1.73,1,0,26,1.00,85,Adjective
erratically,0,2.32,1.33,0,28,1.00,13,Adverb
erring,0,2.24,1.3,4,29,0.86,2,Verb
erroneous,0,1.68,0.9,3,28,0.89,27,Adjective
erroneously,0,1.85,1.29,1,28,0.96,13,Adverb
erroneousness,0,1.96,1.16,3,30,0.90,0,Err:512
error,0,2.68,1.52,0,28,1.00,473,Noun
errorless,0,2.09,1.2,1,24,0.96,1,Adjective
erupt,0,3.7,1.17,0,27,1.00,20,Verb
eruption,0,3.56,1.15,0,27,1.00,20,Noun
eruptive,0,2.36,1.04,1,26,0.96,1,Adjective
escalate,0,2.39,1.4,0,28,1.00,36,Verb
escalating,0,2.26,1.1,0,27,1.00,31,Adjective
escalation,0,2.27,1.22,1,27,0.96,20,Noun
escalator,0,5,0,0,29,1.00,66,Noun
escapable,0,2.52,1.22,1,28,0.96,1,Adjective
escapade,0,2.67,1.21,1,28,0.96,18,Noun
escape,0,3.34,1.17,0,29,1.00,2258,Verb
escapee,0,3.77,1.33,0,30,1.00,11,Noun
escaper,0,3.05,1.46,2,24,0.92,1,Noun
escapism,0,1.56,0.7,4,31,0.87,5,Noun
escapist,0,3.46,1.48,1,27,0.96,7,Noun
escargot,0,5,0,1,28,0.96,15,Verb
escort,0,4.3,0.95,0,27,1.00,749,Verb
escrow,0,2.71,1.63,4,28,0.86,79,Noun
eskimo,0,4.89,0.32,0,27,1.00,84,Err:512
