Word,Bigram,Conc.M,Conc.SD,Unknown,Total,Percent_known,SUBTLEX,Dom_Pos
susceptibleness,0,1.79,1.03,1,29,0.97,0,Err:512
susceptibly,0,1.75,0.89,0,28,1.00,0,Err:512
sushi,0,4.96,0.19,0,28,1.00,222,Noun
sushi bar,1,4.57,0.69,0,28,1.00,0,Err:512
suspect,0,2.59,1.58,0,27,1.00,2254,Noun
suspected,0,2.24,1.43,0,29,1.00,497,Verb
suspend,0,2.74,1.43,0,27,1.00,141,Verb
suspended,0,2.28,1.46,0,29,1.00,373,Verb
suspender,0,4.54,0.99,2,28,0.93,2,Noun
suspenders,0,4.68,1.06,0,28,1.00,43,Noun
suspense,0,1.85,1.32,0,27,1.00,114,Noun
suspenseful,0,1.89,0.97,0,27,1.00,11,Adjective
suspension,0,3.17,1.36,0,29,1.00,222,Noun
suspicion,0,1.62,0.9,0,29,1.00,373,Noun
suspicious,0,1.87,1.07,0,30,1.00,815,Adjective
suspiciously,0,1.63,0.81,0,30,1.00,22,Adverb
suspiciousness,0,1.86,1.19,0,29,1.00,2,Noun
sustain,0,2.17,1.32,0,30,1.00,136,Verb
sustainability,0,1.69,0.85,0,29,1.00,3,Noun
sustainable,0,2.21,1.25,0,24,1.00,7,Adjective
sustained,0,1.97,1.03,0,30,1.00,397,Adjective
sustainer,0,2.6,1.57,0,30,1.00,2,Noun
sustaining,0,1.93,0.98,0,30,1.00,28,Verb
sustainment,0,1.93,1.12,3,31,0.90,0,Err:512
sustenance,0,2.26,1.42,3,26,0.88,29,Noun
