id_text,lemma
P258986,x[NA]NA ma-ak-ku-ri[NA]NA li-tir-ra-am[NA]NA x[NA]NA lu-uš-ka-nam-ma[NA]NA ana-ku[NA]NA lu-uṣ-x[NA]NA x[NA]NA ana-ku[NA]NA ša₂[NA]NA {d}EN.LIL₂[NA]NA ana-ku[NA]NA ša₂[NA]NA {d}NIN.LIL₂[NA]NA ana-ku[NA]NA x[NA]NA ul[NA]NA i-zak-ku-u[NA]NA x[NA]NA ul[NA]NA i-x-x[NA]NA x[NA]NA ki-nu[NA]NA ik-ru-bu-šu₂[NA]NA x-ti₃[NA]NA ik-ru-bu-šu₂[NA]NA
P259300,ṭupšarrūtu[scribal-art]N ummu[mother]N lâṭu[confined]AJ abu[father]N ummiānu[craftsman]N ṭupšarrūtu[scribal-art]N ṣayyahu[enjoyable]AJ lalû[plenty]N ul[not]MOD šebû[be(come)-full]V ṭupšarrūtu[scribal-art]N lā[not]MOD lamdu[knowing]AJ āhizu[one-who-takes]N ul[not]MOD adāru[be(come)-afraid-(of)]V ṭupšarrūtu[scribal-art]N lā[not]MOD lamdu[knowing]AJ āhizu[one-who-takes]N ul[not]MOD adāru[be(come)-afraid-(of)]V
P274223,bārû[diviner]N libbu[interior]N mimma[anything]XP šumu[name]N ša[that]REL šumu[name]N nabû[called]AJ hāʾiṭu[watcher]N ayyaba[sea]N elû[upper]AJ u[and]CNJ šaplû[lower]AJ ša[that]REL zunnu[rain]N ina[in]PRP šamû[heaven]N x[NA]NA nāru[river]N x[NA]NA x-x[NA]NA ana[to]PRP kabtu[heavy-one]N ṣīru[exalted]AJ x-x[NA]NA ana[to]PRP dayyānu[judge]N Ekur[1]TN ša[that]REL di-x[NA]NA bītu[house]N ša[that]REL kīma[like]PRP šamû[heaven]N qātu[hand]N lā[not]MOD ṭehû[approach]V bītu[house]N pu-ru-x[NA]NA šamû[heaven]N ellu[pure]AJ petû[open]V narāmu[loved-one]N kittu[steadiness]N u[and]CNJ mīšaru[justice]N erṣetu[earth]N rapšu[wide]AJ nawāru[be(come)-bright]V šarru[king]N kiššatu[totality]N ina[in]PRP ilu[god]N Anunnaku[1]DN ašarēdu[pre-eminent-one]N šamû[heaven]N u[and]CNJ erṣetu[earth]N ilu[god]N nawru[bright]AJ bārû[diviner]N ebbu[bright]AJ
P274259,x-x-šu₂[NA]NA x[NA]NA isqu[share]N x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA ummiānu[craftsman]N kisallu[court]N bītu[house]N ṭuppu[tablet]N x[NA]NA kisallu[court]N bītu[house]N ṭuppu[tablet]N x[NA]NA x-ia[NA]NA gana[come-on]J qabû[say]V petû[open]V x-x[NA]NA x[NA]NA meṭlūtu[manhood]N ina[in]PRP bītu[house]N ṭuppu[tablet]N wašbu[inhabited]AJ ahāzu[take]V ittu[sign]N ul[not]MOD edû[know]V mīnû[what?]QP edû[know]V x[NA]NA apālu[pay]V lā[not]MOD apālu[pay]V x[NA]NA x-x[NA]NA ana[to]PRP šūši[sixty]NU kânu[be(come)-permanent]V nibītu[naming]N edû[know]V x[NA]NA x[NA]NA x[NA]NA x[NA]NA edû[know]V x[NA]NA edû[know]V x-x-u₂[NA]NA edû[know]V x-ka[NA]NA uš-ta-x[NA]NA x[NA]NA nawru[bright]AJ hišihtu[requirement]N ēkallu[palace]N
P274260,x[NA]NA katimtu[secret]N kīam[so]AV x[NA]NA x-da-a[NA]NA šapliš[below]AV šumerû[a-Sumerian]EN x[NA]NA x[NA]NA x[NA]NA x-tu₄[NA]NA šu-x[NA]NA x[NA]NA x-x-eš[NA]NA annîš[here]AV ullîš[at-that-place]AV x[NA]NA x[NA]NA x[NA]NA x-ma-an-ni[NA]NA ša[that]REL itti[with]PRP x[NA]NA x[NA]NA x[NA]NA MIN[NA]NA MIN[NA]NA x[NA]NA lišānu[tongue]N šumerû[a-Sumerian]EN Akkadû[from-Akkade]EN lā[not]MOD x[NA]NA x-x[NA]NA pa-šir₃-tum[NA]NA šu-me-x[NA]NA elû[upper-one]N amāru[see]V šaplû[lower-one]N šemû[hear]V šap-x[NA]NA x[NA]NA ṣēlû[on-its-side]AJ raqqu[thin]AJ mihiṣtu[strike]N gamru[complete]AJ mi-x[NA]NA lišānu[tongue]N šumerû[a-Sumerian]EN tamšīlu[image]N Akkadû[from-Akkade]EN x[NA]NA x-ZA-ti[NA]NA zamāru[song]N naklu[skilful]AJ šu-x-x[NA]NA x[NA]NA šiknu[act-of-putting]N kīniš[reliably]AV kânu[be(come)-permanent]V x[NA]NA x-x[NA]NA sa-am-sa-x[NA]NA x[NA]NA itti[with]PRP ul[not]MOD ta-x[NA]NA
P274261,x-li-tu₄[NA]NA raqqu[thin]AJ mihiṣtu[strike]N x-tu₄[NA]NA lā[not]MOD gamru[complete]AJ mihiṣtu[strike]N x-x[NA]NA nukurrû[unchanged]AJ edû[know]V x[NA]NA a-ma-a-tu₄[NA]NA x[NA]NA x-ZI-ru[NA]NA i-še-šu-x[NA]NA
P274262,x[NA]NA lâṭu[confined]AJ abu[father]N ummiānu[craftsman]N x[NA]NA ṣayyahu[enjoyable]AJ lalû[plenty]N ul[not]MOD šebû[be(come)-full]V x[NA]NA lamdu[knowing]AJ āhizu[one-who-takes]N ul[not]MOD adāru[be(come)-afraid-(of)]V x[NA]NA kapādu[plan]V nēmelu[profit]N waṣābu[add]V x[NA]NA tâpu[devote-oneself]V mašrû[riches]N rašû[acquire]V x[NA]NA lā[not]MOD egû[negligent]AJ ahu[arm]N lā[not]MOD nadû[throw]V x[NA]NA bītu[house]N būnu[goodness]N niṣirtu[treasure]N Amanki[1]DN dalāpu[stir-up]V niṣirtu[treasure]N kullumu[show]V x[NA]NA nadû[throw]V masiktu[badness]N x[NA]NA x[NA]NA damāqu[be(come)-good]V mašrû[riches]N x[NA]NA x[NA]NA x-x[NA]NA rabû[big-one]N pa-x-x[NA]NA x-šu[NA]NA ittu[peculiarity]N abu[father]N ummiānu[craftsman]N x-ir-šu[NA]NA amāru[see]V x[NA]NA ahāzu[take]V KAB-li-it[NA]NA lamādu[learn]V šamû[heaven]N ma-ar-x[NA]NA x[NA]NA šadādu[drag]V nikkassu[account]N kašādu[reach]V x-x[NA]NA kabātu[be(come)-heavy]V qaqqadu[head]N umma[saying]PRP x[NA]NA šasû[shout]V tupšikku[brick-carrying-frame]N x[NA]NA ša[of]DET ṭuppu[tablet]N Nabu-iddin[1]PN
P274670,māmītu[oath]N māmītu[oath]N uṣurtu[drawing]N ša[that]REL lā[not]MOD etēqu[proceed]V uṣurtu[drawing]N ilu[god]N ša[that]REL lā[not]MOD nabalkutu[cross-over]V uṣurtu[drawing]N šamû[heaven]N u[and]CNJ erṣetu[earth]N ša[that]REL lā[not]MOD nakāru[change]V ilu[god]N ištēn[one]NU lā[not]MOD šupêlu[exchange]V ilu[god]N u[and]CNJ awīlu[man]N lā[not]MOD pašāru[release]V gišparru[trap]N lā[not]MOD etēqu[proceed]V ša[that]REL ana[to]PRP lemnu[bad-one]N retû[driven-in]AJ sapāru[(deity's)-net]N lā[not]MOD waṣû[go-out]V ša[that]REL ana[to]PRP lemnu[bad-one]N tarṣu[stretched-out]AJ lū[either]CNJ utukku[(an-evil-demon)]N lemnu[bad]AJ lū[either]CNJ alû[(an-evil-demon)]N lemnu[bad]AJ lū[either]CNJ eṭemmu[ghost]N lemnu[bad]AJ x[NA]NA lū[either]CNJ ilu[god]N lemnu[bad]AJ x[NA]NA lū[either]CNJ Lamaštu[1]DN lū[either]CNJ labāṣu[(a-disease-demon)]N lū[either]CNJ ahhāzu[seizer]N lū[either]CNJ lilû[(a-demon)]N lū[either]CNJ lilītu[(a-demon)]N lū[either]CNJ wardatu[girl]N lilû[(a-demon)]N lū[either]CNJ Namtaru[1]DN lemnu[bad]AJ lū[either]CNJ asakku[(a-demon-or-illness)]N marṣu[sick]AJ lū[either]CNJ murṣu[illness]N lā[not]MOD ṭābu[good]AJ x[NA]NA Ea[1]DN wâru[go-(up-to)]V ša[that]REL ana[to]PRP x[NA]NA ša[of]DET Nisabak[1]DN ṣarāru[flash]V x[NA]NA uṣurtu[drawing]N šamû[heaven]N u[and]CNJ erṣetu[earth]N ai[not]MOD wašāru[sink-down]V ša[that]REL nīšu[life]N ilu[god]N rabû[big]AJ lā[not]MOD palāhu[fear]V nīšu[life]N ilu[god]N rabû[big]AJ x-su[NA]NA x[NA]NA warû[lead]V ana[to]PRP zīqīqu[wind]N târu[turn]V ša[that]REL ina[in]PRP hurru[hole]N ziāqu[blow]V šumu[name]N halāqu[be(come)-lost]V x[NA]NA bītu[house]N ṣarāru[flash]V ana[to]PRP lā[not]MOD bašû[exist]V târu[turn]V x[NA]NA Ea[1]DN x[NA]NA Apsu[1]GN šiptu[incantation]N Apsu[1]GN u[and]CNJ Eridu[1]SN ai[not]MOD pašāru[release]V kīma[like]PRP labīru[original]N šaṭru[written]AJ barû[seen]AJ
P274671,x[NA]NA x[NA]NA sahāru[go-around]V x[NA]NA x[NA]NA kalû[hold-(back)]V x[NA]NA erēbu[enter]V x[NA]NA halāpu[slip-into]V x[NA]NA kalû[hold-(back)]V x[NA]NA x[NA]NA ṣarāru[flash]V x[NA]NA tabāku[pour-(out)]V x[NA]NA hepû[break]V x[NA]NA parāru[be(come)-dissolved]V x[NA]NA x[NA]NA li-x[NA]NA x[NA]NA u₂-x[NA]NA x[NA]NA ṭabāhu[slaughter]V x[NA]NA x[NA]NA mahāṣu[beat]V x[NA]NA šasû[shout]V pû[mouth]N edēlu[shut]V x[NA]NA tabāku[pour-(out)]V x[NA]NA katāmu[cover]V x-lu[NA]NA x[NA]NA nasāhu[tear-out]V
P274672,ana[to]PRP zīqīqu[wind]N târu[turn]V ša[that]REL ina[in]PRP hurru[hole]N ziāqu[blow]V šumu[name]N halāqu[be(come)-lost]V
